Measure Mode: wall_time
Thread ID: 7231880
Fiber ID: 9231460
Total: 0.692615
Sort by: self_time

 %self      total      self      wait     child     calls  name
  6.43      0.045     0.045     0.000     0.000    19112   Symbol#to_s
  2.88      0.232     0.020     0.000     0.212     6740  *Array#each
  2.56      0.018     0.018     0.000     0.000     7083   Array#initialize_copy
  2.49      0.677     0.017     0.000     0.659      595  *Kernel#require
  2.45      0.017     0.017     0.000     0.000    16068   Kernel#instance_variable_set
  2.24      0.052     0.016     0.000     0.036    12192   Kernel#dup
  2.02      0.036     0.014     0.000     0.022    12268   Kernel#initialize_dup
  1.99      0.017     0.014     0.000     0.003     2281  *BinData::DSLMixin::DSLParser#endian
  1.90      0.050     0.013     0.000     0.037      436  *Module#module_eval
  1.64      0.013     0.011     0.000     0.002      184   BinData::DSLMixin::DSLParser#initialize
  1.25      0.009     0.009     0.000     0.000     3404   Gem::Dependency#type
  1.25      0.277     0.009     0.000     0.268     5893  *Class#new
  0.97      0.072     0.007     0.000     0.065        4   Bundler::SpecSet#for
  0.93      0.006     0.006     0.000     0.000     6358   Symbol#to_sym
  0.88      0.018     0.006     0.000     0.012      857   BinData::Registry#underscore_name
  0.76      0.005     0.005     0.000     0.000    10700   Gem::Specification#default_value
  0.75      0.005     0.005     0.000     0.000      616   IO#set_encoding
  0.72      0.024     0.005     0.000     0.019      274   Forwardable#def_instance_delegator
  0.62      0.010     0.004     0.000     0.006     1961  *BinData::AcceptedParametersPlugin#accepted_parameters
  0.59      0.005     0.004     0.000     0.001      150   Module#class_eval
  0.55      0.004     0.004     0.000     0.000     1762   String#gsub
  0.52      0.012     0.004     0.000     0.009      825   BinData::Registry#is_registered?
  0.49      0.003     0.003     0.000     0.000      973   String#sub
  0.48      0.004     0.003     0.000     0.000      535   Bundler::StubSpecification#_remote_specification
  0.46      0.003     0.003     0.000     0.000     3413   BinData::DSLMixin::DSLParser#parser_abilities
  0.45      0.013     0.003     0.000     0.010     1414   Array#map
  0.42      0.003     0.003     0.000     0.000     3183   String#initialize_copy
  0.41      0.006     0.003     0.000     0.003     1704  *Hash#each
  0.41      0.003     0.003     0.000     0.000     2866   Module#method_added
  0.41      0.003     0.003     0.000     0.000     1594   Regexp#=~
  0.40      0.003     0.003     0.000     0.000     4970   Kernel#hash
  0.37      0.003     0.003     0.000     0.000     6772   Kernel#nil?
  0.36      0.003     0.003     0.000     0.000      292   Kernel#define_singleton_method
  0.35      0.008     0.002     0.000     0.006     2973   BinData::DSLMixin::DSLParser#option?
  0.33      0.048     0.002     0.000     0.045      771  *BinData::SanitizedParameters#initialize
  0.32      0.002     0.002     0.000     0.000     4460   Array#include?
  0.30      0.002     0.002     0.000     0.000     3196   BasicObject#!
  0.30      0.002     0.002     0.000     0.000     1508   String#to_s
  0.30      0.005     0.002     0.000     0.002      766   Bundler::SpecSet#lookup
  0.29      0.002     0.002     0.000     0.000     1719   Hash#[]=
  0.29      0.003     0.002     0.000     0.001      953  *<Class::BinData::Base>#arg_processor
  0.28      0.008     0.002     0.000     0.006      519   Enumerable#sort_by
  0.27      0.002     0.002     0.000     0.000     3229   Array#at
  0.26      0.002     0.002     0.000     0.000      857   String#tr
  0.25      0.002     0.002     0.000     0.000      901   String#downcase
  0.25      0.166     0.002     0.000     0.165     1002  *BinData::DSLMixin#method_missing
  0.25      0.002     0.002     0.000     0.001      628   BinData::DSLMixin::DSLFieldParser#name_from_field_declaration
  0.25      0.039     0.002     0.000     0.038      628   BinData::DSLMixin::DSLFieldValidator#validate_field
  0.24      0.002     0.002     0.000     0.000     3431   Kernel#respond_to?
  0.24      0.075     0.002     0.000     0.073      638  *BinData::SanitizedPrototype#initialize
  0.24      0.002     0.002     0.000     0.000     6005   Hash#[]
  0.24      0.007     0.002     0.000     0.005     1812  *BinData::DSLMixin::DSLParser#fields
  0.24      0.011     0.002     0.000     0.009      569   Enumerable#detect
  0.23      0.003     0.002     0.000     0.001      351   <Class::Gem::Requirement>#parse
  0.23      0.007     0.002     0.000     0.006     1528   Gem::Version#version
  0.23      0.016     0.002     0.000     0.015     1723  *BinData::DSLMixin#dsl_parser
  0.22      0.126     0.002     0.000     0.124      535   Gem::Specification#initialize
  0.22      0.009     0.002     0.000     0.008     1073   Gem::Dependency#hash
  0.22      0.005     0.002     0.000     0.003     2461   BinData::SanitizedField#name_as_sym
  0.21      0.146     0.001     0.000     0.144      628  *BinData::DSLMixin::DSLParser#method_missing
  0.21      0.001     0.001     0.000     0.000     3332   Kernel#is_a?
  0.21      0.001     0.001     0.000     0.000     2902   String#hash
  0.21      0.008     0.001     0.000     0.007     2510   BinData::DSLMixin::DSLFieldValidator#option?
  0.20      0.005     0.001     0.000     0.004     2737  *Array#hash
  0.20      0.044     0.001     0.000     0.043      771  *BinData::SanitizedParameters#sanitize!
  0.20      0.028     0.001     0.000     0.026      628   BinData::DSLMixin::DSLFieldValidator#ensure_valid_name
  0.19      0.001     0.001     0.000     0.000     1939   Array#sort
  0.19      0.001     0.001     0.000     0.000     5297   Symbol#==
  0.19      0.006     0.001     0.000     0.005      234   BinData::DSLMixin::DSLParser#to_struct_params
  0.18      0.001     0.001     0.000     0.000      946   Array#join
  0.18      0.002     0.001     0.000     0.001     1670   Hash#include?
  0.18      0.032     0.001     0.000     0.031      628  *BinData::DSLMixin::DSLFieldParser#initialize
  0.18      0.001     0.001     0.000     0.000     1658   Class#superclass
  0.17      0.010     0.001     0.000     0.009      812   Hash#each_pair
  0.17      0.001     0.001     0.000     0.000      759   Hash#initialize_copy
  0.17      0.001     0.001     0.000     0.000     6687   String#<=>
  0.17      0.001     0.001     0.000     0.000     4835   Module#===
  0.16      0.143     0.001     0.000     0.142      628  *BinData::DSLMixin::DSLParser#parse_and_append_field
  0.16      0.002     0.001     0.000     0.001      938   BinData::AcceptedParametersPlugin::AcceptedParameters#mandatory
  0.16      0.001     0.001     0.000     0.000       55   Module#attr_accessor
  0.15      0.080     0.001     0.000     0.079      628   BinData::SanitizedFields#add_field
  0.15      0.462     0.001     0.000     0.461        2  *Kernel#load
  0.15      0.008     0.001     0.000     0.007      773   BinData::AcceptedParametersPlugin#default_parameters
  0.15      0.002     0.001     0.000     0.001      535   Gem::Specification#loaded_from=
  0.15      0.001     0.001     0.000     0.000     2135   Gem::Dependency#requirement
  0.15      0.001     0.001     0.000     0.000     1689   Hash#has_key?
  0.14      0.006     0.001     0.000     0.005      783   BinData::AcceptedParametersPlugin#mandatory_parameters
  0.14      0.001     0.001     0.000     0.000      410   String#=~
  0.14      0.004     0.001     0.000     0.003      665  *BinData::DSLMixin::DSLParser#parent_attribute
  0.14      0.002     0.001     0.000     0.001      401   Array#collect
  0.13      0.004     0.001     0.000     0.003      771   BinData::SanitizedParameters#ensure_mutual_exclusion_of_parameters
  0.13      0.008     0.001     0.000     0.007      771   BinData::SanitizedParameters#ensure_mandatory_parameters_exist
  0.13      0.001     0.001     0.000     0.000      472   Array#flatten
  0.13      0.001     0.001     0.000     0.000      928   BinData::AcceptedParametersPlugin::AcceptedParameters#default
  0.13      0.001     0.001     0.000     0.000      628   BinData::DSLMixin::DSLFieldParser#params_from_args
  0.13      0.001     0.001     0.000     0.000      535   Gem::BasicSpecification#loaded_from=
  0.13      0.001     0.001     0.000     0.000      972   Kernel#class
  0.13      0.010     0.001     0.000     0.009      771   BinData::SanitizedParameters#merge_default_parameters!
  0.13      0.001     0.001     0.000     0.000     1389   Gem::Version#hash
  0.13      0.024     0.001     0.000     0.023      638   BinData::Registry#lookup
  0.12      0.023     0.001     0.000     0.022      638   BinData::Registry#normalize_name
  0.11      0.001     0.001     0.000     0.000      480   Array#concat
  0.11      0.001     0.001     0.000     0.000       71   Module#append_features
  0.11      0.001     0.001     0.000     0.000      566   Module#method_defined?
  0.11      0.009     0.001     0.000     0.008      753   Gem::Requirement#to_s
  0.11      0.011     0.001     0.000     0.011      216   BinData::Registry#register
  0.10      0.028     0.001     0.000     0.028      628  *BinData::DSLMixin::DSLFieldParser#params_from_field_declaration
  0.10      0.001     0.001     0.000     0.000      604   BasicObject#singleton_method_added
  0.10      0.001     0.001     0.000     0.000      783   Proc#yield
  0.10      0.001     0.001     0.000     0.000       47   Fixnum#-
  0.10      0.005     0.001     0.000     0.004     1073   Gem::Requirement#hash
  0.10      0.077     0.001     0.000     0.076      628   BinData::SanitizedField#initialize
  0.10      0.001     0.001     0.000     0.000     1303   Kernel#initialize_copy
  0.10      0.001     0.001     0.000     0.000     1565   Kernel#block_given?
  0.10      0.001     0.001     0.000     0.000       96   <Class::Dir>#[]
  0.09      0.132     0.001     0.000     0.132      535   Bundler::RemoteSpecification#method_missing
  0.09      0.001     0.001     0.000     0.000      998   Array#shift
  0.09      0.001     0.001     0.000     0.000      432   Array#delete
  0.09      0.001     0.001     0.000     0.001      718   BinData::SanitizedParameters#needs_sanitizing?
  0.09      0.021     0.001     0.000     0.020      566  *Enumerable#find
  0.09      0.002     0.001     0.000     0.002      771   BinData::SanitizedParameters#ensure_no_nil_values
  0.09      0.002     0.001     0.000     0.001      396   BinData::AcceptedParametersPlugin::AcceptedParameters#mutually_exclusive
  0.09      0.001     0.001     0.000     0.000       16   Regexp#match
  0.09      0.002     0.001     0.000     0.002      102   Array#uniq
  0.08      0.005     0.001     0.000     0.004      228   Gem::Dependency#initialize
  0.08      0.006     0.001     0.000     0.006      742   BinData::DSLMixin::DSLFieldValidator#fields
  0.08      0.007     0.001     0.000     0.006      753   Gem::Requirement#as_list
  0.08      0.081     0.001     0.000     0.080      628   BinData::DSLMixin::DSLParser#append_field
  0.08      0.004     0.001     0.000     0.004      353   Gem::Requirement#initialize
  0.08      0.001     0.001     0.000     0.000      601   Array#first
  0.08      0.018     0.001     0.000     0.017      562   BinData::DSLMixin::DSLFieldValidator#duplicate_name?
  0.08      0.005     0.001     0.000     0.004      156   BinData::AcceptedParametersPlugin::AcceptedParameters#initialize
  0.07      0.001     0.001     0.000     0.000     1409   NilClass#nil?
  0.07      0.001     0.001     0.000     0.001     2335   Bundler::LazySpecification#satisfies?
  0.07      0.005     0.001     0.000     0.004      628   BinData::DSLMixin::DSLFieldValidator#all_or_none_names_failed?
  0.07      0.006     0.000     0.000     0.006      190   Bundler::LockfileParser#parse_spec
  0.07      0.000     0.000     0.000     0.000      260   Class#inherited
  0.07      0.001     0.000     0.000     0.000      172   URI::Generic#to_s
  0.07      0.003     0.000     0.000     0.002       56   Array#reverse_each
  0.07      0.010     0.000     0.000     0.009      130   <Class::BinData::Record>#inherited
  0.07      0.002     0.000     0.000     0.001      562   BinData::DSLMixin::DSLFieldValidator#name_is_reserved?
  0.07      0.000     0.000     0.000     0.000     1532   Hash#has_parameter?
  0.07      0.000     0.000     0.000     0.000      984   BinData::SanitizedField#name
  0.07      0.003     0.000     0.000     0.003      562   BinData::DSLMixin::DSLFieldValidator#malformed_name?
  0.07      0.002     0.000     0.000     0.002       82   BinData::Primitive#method_missing
  0.06      0.000     0.000     0.000     0.000     1710   Array#empty?
  0.06      0.000     0.000     0.000     0.000       98   Symbol#inspect
  0.06      0.000     0.000     0.000     0.000       64   Array#+
  0.06      0.000     0.000     0.000     0.000      772   Hash#length
  0.06      0.001     0.000     0.000     0.001      562   BinData::DSLMixin::DSLFieldValidator#name_shadows_method?
  0.06      0.000     0.000     0.000     0.000     2184   Fixnum#^
  0.06      0.000     0.000     0.000     0.000      268   Array#compact
  0.06      0.003     0.000     0.000     0.003      628   BinData::DSLMixin::DSLFieldValidator#must_not_have_a_name_failed?
  0.06      0.043     0.000     0.000     0.043      333  *<Module::TSort>#each_strongly_connected_component_from
  0.06      0.000     0.000     0.000     0.000      508   Array#last
  0.06      0.003     0.000     0.000     0.003      229  *BinData::DSLMixin::DSLParser#hide
  0.05      0.007     0.000     0.000     0.007      256   BinData::DSLMixin::DSLParser#dsl_params
  0.05      0.002     0.000     0.000     0.001      183   BinData::DSLMixin::DSLBigAndLittleEndianHandler#obj_attribute
  0.05      0.001     0.000     0.000     0.001      234   BinData::StructArgProcessor#sanitize_endian
  0.05      0.001     0.000     0.000     0.000      187   BinData::Registry#name_with_endian
  0.05      0.004     0.000     0.000     0.004      586   Bundler::DepProxy#hash
  0.05      0.000     0.000     0.000     0.000      533   Regexp#===
  0.05      0.003     0.000     0.000     0.003      234   BinData::StructArgProcessor#sanitize_parameters!
  0.05      0.000     0.000     0.000     0.000      232   Hash#fetch
  0.05      0.002     0.000     0.000     0.002      628   BinData::DSLMixin::DSLFieldValidator#must_have_a_name_failed?
  0.05      0.000     0.000     0.000     0.000      122   String#split
  0.05      0.001     0.000     0.000     0.001      169   BinData::DSLMixin::DSLParser#set_endian
  0.05      0.002     0.000     0.000     0.001      562   Kernel#!~
  0.05      0.002     0.000     0.000     0.002      183   BinData::DSLMixin::DSLBigAndLittleEndianHandler#subclass_of_big_and_little_endian?
  0.05      0.001     0.000     0.000     0.000      216   BinData::Registry#warn_if_name_is_already_registered
  0.05      0.001     0.000     0.000     0.000        4   URI::Generic#initialize
  0.05      0.002     0.000     0.000     0.001      241   BinData::AcceptedParametersPlugin#mutually_exclusive_parameters
  0.05      0.011     0.000     0.000     0.011      562   BinData::SanitizedFields#has_field_name?
  0.04      0.013     0.000     0.000     0.013      359  *Array#map!
  0.04      0.000     0.000     0.000     0.000     1214   Kernel#respond_to_missing?
  0.04      0.003     0.000     0.000     0.003       85   Bundler::Index#search_by_dependency
  0.04      0.018     0.000     0.000     0.018      209   Forwardable#def_instance_delegators
  0.04      0.000     0.000     0.000     0.000      115   Array#unshift
  0.04      0.003     0.000     0.000     0.003      217   <Class::BinData::Base>#register_subclasses
